 53%|█████▎    | 213/400 [04:44<04:51,  1.56s/it]
Epoch [214/400], Total Loss: 0.9632048457860947

 54%|█████▍    | 215/400 [04:47<04:23,  1.42s/it]

 54%|█████▍    | 216/400 [04:48<04:15,  1.39s/it]
Epoch [217/400], Total Loss: 1.0357322432100773

 55%|█████▍    | 218/400 [04:51<04:06,  1.35s/it]

 55%|█████▍    | 219/400 [04:52<04:04,  1.35s/it]
Epoch [220/400], Total Loss: 0.9967369101941586

 55%|█████▌    | 221/400 [04:55<04:07,  1.38s/it]

 56%|█████▌    | 222/400 [04:56<04:08,  1.40s/it]
Epoch [223/400], Total Loss: 0.9605230018496513

 56%|█████▌    | 224/400 [04:59<03:56,  1.34s/it]

 56%|█████▋    | 225/400 [05:00<03:51,  1.32s/it]
Epoch [226/400], Total Loss: 0.96452447026968

 57%|█████▋    | 227/400 [05:03<03:43,  1.29s/it]

 57%|█████▋    | 228/400 [05:04<03:42,  1.29s/it]
Epoch [229/400], Total Loss: 0.9605880938470364

 57%|█████▊    | 230/400 [05:07<03:52,  1.37s/it]


 58%|█████▊    | 233/400 [05:11<03:49,  1.37s/it]
Epoch [232/400], Total Loss: 0.924679484218359
Epoch [233/400], Total Loss: 0.9724547825753689


 59%|█████▉    | 236/400 [05:15<03:42,  1.36s/it]
Epoch [235/400], Total Loss: 0.8981702625751495

 59%|█████▉    | 237/400 [05:16<03:39,  1.35s/it]

 60%|█████▉    | 238/400 [05:18<03:40,  1.36s/it]

 60%|██████    | 240/400 [05:20<03:39,  1.37s/it]
Epoch [239/400], Total Loss: 0.8933711275458336

 60%|██████    | 241/400 [05:22<03:37,  1.37s/it]

 61%|██████    | 243/400 [05:24<03:27,  1.32s/it]
Epoch [242/400], Total Loss: 0.9265285506844521

 61%|██████▏   | 245/400 [05:27<03:26,  1.33s/it]
Epoch [244/400], Total Loss: 0.8996982835233212

 62%|██████▏   | 246/400 [05:28<03:25,  1.34s/it]

 62%|██████▏   | 247/400 [05:30<03:25,  1.34s/it]

 62%|██████▏   | 249/400 [05:32<03:23,  1.35s/it]
Epoch [248/400], Total Loss: 0.9095452576875687

 62%|██████▎   | 250/400 [05:35<04:03,  1.62s/it]

 63%|██████▎   | 251/400 [05:36<03:49,  1.54s/it]

 63%|██████▎   | 253/400 [05:39<03:29,  1.42s/it]
Epoch [252/400], Total Loss: 0.8483708426356316
Epoch [253/400], Total Loss: 0.853147342801094


 64%|██████▍   | 256/400 [05:43<03:17,  1.37s/it]
Epoch [255/400], Total Loss: 0.8851453848183155

 64%|██████▍   | 257/400 [05:44<03:13,  1.36s/it]

 64%|██████▍   | 258/400 [05:45<03:13,  1.36s/it]

 65%|██████▍   | 259/400 [05:48<03:55,  1.67s/it]
