날짜,고가,저가,종가,MA-5,MA-15,EMA-5,EMA-15,RSI
2000-09-21,4660,4320,4400,4296.0,4984.0,4436.459639113208,4898.777035805209,23.235294117647072
2000-09-22,4050,3780,3800,4186.0,4822.666666666667,4224.306426075473,4761.429906329558,20.734908136482943
2000-09-25,4110,3840,4090,4210.0,4693.333333333333,4179.5376173836485,4677.501168038363,30.508474576271183
2000-09-26,4040,3900,4000,4178.0,4595.333333333333,4119.691744922433,4592.813522033568,28.370786516853926
2000-09-27,4100,3959,4030,4064.0,4494.666666666667,4089.7944966149553,4522.461831779372,30.678466076696168
2000-09-28,4190,4030,4060,3996.0,4409.333333333333,4079.862997743304,4464.6541028069505,33.12693498452013
2000-09-29,4120,3940,4040,4044.0,4335.333333333333,4066.5753318288694,4411.572339956081,32.92307692307692
2000-10-02,3879,3760,3810,3988.0,4246.0,3981.0502212192464,4336.375797461571,34.294871794871796
2000-10-04,3950,3589,3890,3966.0,4186.0,3950.700147479498,4280.578822778874,34.08360128617363
2000-10-05,4080,3939,3940,3948.0,4123.333333333333,3947.133431652999,4238.006469931515,37.123745819397996
2000-10-06,3899,3760,3900,3916.0,4069.3333333333335,3931.4222877686666,4195.755661190076,41.57303370786517
2000-10-09,3840,3680,3690,3846.0,4025.3333333333335,3850.948191845778,4132.536203541316,44.4
2000-10-10,3810,3590,3660,3816.0,4004.6666666666665,3787.2987945638524,4073.469178098652,39.31623931623932
2000-10-11,3459,3210,3220,3682.0,3942.0,3598.199196375902,3966.7855308363205,20.51282051282051
2000-10-12,3280,3140,3140,3522.0,3844.6666666666665,3445.466130917268,3863.4373394817803,21.621621621621628
2000-10-13,3090,2830,3030,3348.0,3753.3333333333335,3306.977420611512,3759.2576720465577,27.74566473988439
2000-10-16,3380,3130,3160,3242.0,3710.6666666666665,3257.984947074342,3684.350463040738,20.382165605095537
2000-10-17,3080,2730,2740,3058.0,3620.6666666666665,3085.3232980495613,3566.3066551606457,16.84210526315789
2000-10-18,2760,2420,2730,2960.0,3536.0,2966.8821986997077,3461.768323265565,15.425531914893611
2000-10-19,3050,2690,2900,2912.0,3460.6666666666665,2944.588132466472,3391.5472828573693,21.28712871287128
2000-10-20,3330,3190,3330,2972.0,3412.0,3073.0587549776483,3383.853872500198,35.3909465020576
2000-10-23,3520,3160,3200,2980.0,3356.0,3115.3725033184323,3360.872138437673,36.90987124463519
2000-10-24,3419,3100,3340,3100.0,3324.6666666666665,3190.2483355456216,3358.263121132964,38.49372384937238
2000-10-25,3260,3130,3210,3196.0,3279.3333333333335,3196.832223697081,3339.7302309913434,35.22267206477733
2000-10-26,3030,2740,2890,3194.0,3209.3333333333335,3094.5548157980547,3283.5139521174256,31.63636363636364
2000-10-27,3020,2840,2840,3096.0,3138.6666666666665,3009.703210532037,3228.0747081027475,33.59073359073359
2000-10-30,2880,2720,2750,3006.0,3076.0,2923.135473688025,3168.315369589904,32.83018867924528
2000-10-31,2850,2630,2850,2908.0,3022.0,2898.7569824586835,3128.525948391166,41.99134199134199
2000-11-01,3270,2960,3260,2918.0,3024.6666666666665,3019.1713216391227,3144.9602048422703,52.272727272727266
2000-11-02,3429,3170,3320,3004.0,3036.6666666666665,3119.447547759415,3166.8401792369864,55.598455598455594
2000-11-03,3470,3370,3440,3124.0,3064.0,3226.2983651729437,3200.985156832363,55.42635658914728
2000-11-06,3670,3380,3510,3276.0,3087.3333333333335,3320.865576781963,3239.6120122283173,67.2645739910314
2000-11-07,3550,3380,3440,3394.0,3134.0,3360.5770511879755,3264.6605106997777,65.50218340611355
2000-11-08,3460,3280,3410,3424.0,3179.3333333333335,3377.0513674586505,3282.8279468623055,61.86046511627907
2000-11-09,3430,3260,3400,3440.0,3212.6666666666665,3384.700911639101,3297.4744535045174,52.02312138728324
2000-11-10,3440,3320,3380,3428.0,3216.0,3383.133941092734,3307.7901468164528,55.55555555555556
2000-11-13,3260,3100,3150,3356.0,3212.6666666666665,3305.4226273951563,3288.066378464396,44.444444444444436
2000-11-14,3320,3210,3290,3326.0,3209.3333333333335,3300.281751596771,3288.308081156347,52.32558139534884
2000-11-15,3460,3319,3390,3322.0,3221.3333333333335,3330.1878343978474,3301.0195710118032,66.66666666666666
2000-11-16,3420,3250,3280,3298.0,3247.3333333333335,3313.458556265232,3298.392124635328,64.1025641025641
2000-11-17,3230,3150,3220,3266.0,3272.6666666666665,3282.3057041768216,3288.593109055912,65.359477124183
2000-11-20,3210,3100,3100,3256.0,3296.0,3221.5371361178813,3265.018970423923,58.064516129032256
2000-11-21,3170,2970,3160,3230.0,3316.6666666666665,3201.024757411921,3251.8915991209324,45.833333333333336
2000-11-22,3220,3080,3140,3180.0,3308.6666666666665,3180.6831716079478,3237.905149230816,42.24137931034483
2000-11-23,3260,3140,3210,3166.0,3301.3333333333335,3190.4554477386323,3234.4170055769637,39.63963963963965
2000-11-24,3400,3270,3400,3202.0,3298.6666666666665,3260.3036318257555,3255.114879879843,45.52845528455285
2000-11-27,3800,3570,3780,3338.0,3316.6666666666665,3433.535754550504,3320.725519894863,61.038961038961034
2000-11-28,3650,3500,3520,3410.0,3322.0,3462.3571697003363,3345.634829908005,53.10734463276836
2000-11-29,3350,3200,3220,3426.0,3309.3333333333335,3381.571446466891,3329.9304761695043,45.631067961165044
2000-11-30,3290,3150,3240,3432.0,3298.6666666666665,3334.380964311261,3318.689166648316,46.60194174757281
2000-12-01,3220,3040,3180,3388.0,3285.3333333333335,3282.920642874174,3301.3530208172765,50.79365079365079
2000-12-04,3250,3080,3100,3252.0,3282.0,3221.9470952494494,3276.1838932151168,44.80874316939891
2000-12-05,3250,3120,3240,3196.0,3278.6666666666665,3227.9647301663,3271.6609065632274,45.98930481283423
2000-12-06,3430,3210,3210,3194.0,3266.6666666666665,3221.9764867775334,3263.9532932428237,48.04469273743017
